#isolate.id individual id of the isolate				
#sample.id sample id where the isolate is from				
#medium cultivation medium				
#temp cultivation temperature				
#oxygen conditions of the cultivation				
isolate.id	sample.id	medium	temp	oxygen
8.27F	A4	nutrient	25	aerobic
9.27F	A4	nutrient	25	aerobic
10.27F	A4	nutrient	25	aerobic
11.27F	A4	gsp	25	aerobic
12.27F	A4	gsp	25	aerobic
13.27F	A4	gsp	25	aerobic
14.27F	A4	gsp	25	aerobic
15.27F	A4	gsp	25	aerobic
16.27F	A4	marine	25	aerobic
17.27F	A7	tsa	25	aerobic
18.27F	A7	tsa	25	aerobic
19.27F	A7	gsp	25	aerobic
20.27F	A8	nutrient	25	aerobic
21.27F	A8	gsp	25	aerobic
22.27F	B6	mrs	25	aerobic
23.27F	C6	coryne	25	aerobic
24.27F	C6	coryne	25	aerobic
25.27F	C6	coryne	25	aerobic
26.27F	C6	coryne	25	aerobic
27.27F	C8	tsa	25	aerobic
